date,open,high,low,close,volume
2025-03-05,904.8,930.49,901.64,929.72,3109500
2025-03-06,920.42,931.38,898.28,912.76,3273100
2025-03-07,905.39,908,861.39,869.58,4818100
2025-03-10,853.91,863.19,825.78,829.76,5962900
2025-03-11,827.2,832.35,811.64,824.06,3796500
2025-03-12,814.95,834.65,813.26,821.86,3014800
2025-03-13,818.24,821.11,795.38,801.65,3566300
2025-03-14,803.11,815.21,800,813.48,3102300
2025-03-17,816.95,829,814.57,824.76,2546600
2025-03-18,833.42,836.29,812.62,822.51,2354900
2025-03-19,821.72,842.13,819.5,837.01,3790500
2025-03-20,839.03,854.39,832.46,842.57,4402700
2025-03-21,837.8,850.43,825.32,837.57,5963800
2025-03-24,845.32,866.87,837.76,864.9,3102400
2025-03-25,869.55,874.92,847.92,852.35,2670600
2025-03-26,845.69,851.41,826.4,826.76,2562100
2025-03-27,822.82,826.77,815.29,821.67,2128200
2025-03-28,820,829.78,817.43,822.51,2124700
2025-03-31,808.98,828.01,789.4,825.91,3737000
2025-04-01,818.6,820.66,797,805.23,2987700
2025-04-02,795.04,819.85,795.04,818.22,2683800
2025-04-03,810.51,818.79,787.06,789.09,2675100
2025-04-04,762.11,768.27,734.7,738.21,5299400
2025-04-07,697.93,748,677.09,723.73,6274400
2025-04-08,754.98,763.5,713.28,726.24,4115200
2025-04-09,704.4,754.83,689,753.71,6619000
2025-04-10,738.9,741.95,691.77,720.91,4182700
2025-04-11,722.89,735.84,711.98,732.41,3603400
2025-04-14,750.45,759.56,734.52,754.35,3461200
2025-04-15,755.57,765.31,751.49,757.18,2458100
2025-04-16,755.64,756.3,730.34,734.9,3302600
2025-04-17,840.8,858,821.84,839.96,10853400
2025-04-21,841.51,843.91,807,818.02,3326600
2025-04-22,821.88,832,814,827.54,3086500
2025-04-23,836.96,846.01,818.64,829.42,2714600
2025-04-24,836,862.25,829.21,859.73,2939500
2025-04-25,859.66,885.58,851.07,884.54,3398900
2025-04-28,870.44,882.25,864.41,877.29,3457600
2025-04-29,877.7,892.47,874.03,885.2,2454400
2025-04-30,888.2,902.5,882.12,898.95,4374100
2025-05-01,844,850.93,792.07,794.1,12601100
2025-05-02,825.12,831.53,807.59,823.62,6059400
2025-05-05,817,829.64,812.03,821.46,2889600
2025-05-06,816.89,818.42,770.35,775.12,5982000
2025-05-07,780.5,784.34,772.26,776.72,3807800
2025-05-08,765,769.98,739.08,751.45,6162000
2025-05-09,752.01,762.01,733,734.57,4072600
2025-05-12,727.87,765.33,722.18,755.57,9176100
2025-05-13,755.55,759.5,740.85,746.06,4523900
2025-05-14,749.24,759.5,714.03,715.56,7558500
2025-05-15,725.7,738.68,712.21,733.29,5212900
2025-05-16,740,758.87,738,757.39,4645100
2025-05-19,753,758.72,747.56,755.11,4062700
2025-05-20,756,763.5,743,747.01,3873500
2025-05-21,747.05,750.52,723.97,724.95,4060000
2025-05-22,717.1,722.19,711.55,715.2,4249900
2025-05-23,710,719.64,709,713.71,2635700
2025-05-27,717.03,731.31,714.33,725.22,3792700
2025-05-28,725.22,729.99,714.74,719.39,2948800
2025-05-29,719.23,727.33,716.96,722.57,2785500
2025-05-30,725,745.9,717.11,737.67,6106200
2025-06-02,732.5,747.37,730.7,747.12,2946900
2025-06-03,746.25,757,741.46,750.78,3056500
2025-06-04,756.39,772.62,756,765.84,3135900
2025-06-05,769.5,770,753.05,765.68,3636400
2025-06-06,768.48,772.6,765.2,769.88,2069900
2025-06-09,771.95,779.29,767.59,773.71,2262200
2025-06-10,777.09,808.63,777,807.19,4744400
2025-06-11,809.65,820.72,805.03,808.61,3125400
2025-06-12,810.33,818.56,806.35,812.03,2271100
2025-06-13,810.34,825,808.1,819.36,2754600
2025-06-16,821.68,825,805.76,807.58,2821800
2025-06-17,805.16,805.16,788.94,791.24,2875600
2025-06-18,789.95,790.63,779.44,785.03,2442900
2025-06-20,786,786,755.56,762.73,6210600
2025-06-23,770.53,793.21,763.83,770.64,3951500
2025-06-24,772.89,784.44,763.02,778.08,2788500
2025-06-25,779,798.95,773.6,792.3,3023100
2025-06-26,793.95,798.8,788.25,795.12,3118200
2025-06-27,795.8,802.5,774.64,775.45,4115100
2025-06-30,778.54,785,774,779.53,3041500
2025-07-01,779.53,790,773,775.9,2734000
2025-07-02,776.5,779.84,768,779.28,1978300
2025-07-03,780.46,783.55,773,780.67,1450800
2025-07-07,780.68,781.15,762.03,772.87,2576900
2025-07-08,774.85,792.69,768.8,777.66,3301800
2025-07-09,783.8,794,781.99,786.92,2703100
2025-07-10,789.67,799.49,786.43,790.65,3130400
2025-07-11,786.35,795.73,777.2,793.01,2852500
2025-07-14,790,800.88,787.36,799.34,2401400
2025-07-15,801.67,805.42,764.38,771.75,4174100
2025-07-16,773.5,796.04,772.16,789.8,3255400
2025-07-17,786.79,790,760.02,761.5,4107300
2025-07-18,763.86,775.96,760.5,771.71,3357700
2025-07-21,768.17,772,760.5,762.18,3058000
2025-07-22,763.34,778.29,762.5,776.44,2496600
2025-07-23,780,800.09,777.08,798.89,2683600
2025-07-24,801.36,810.14,797.65,805.43,2786400
2025-07-25,809,815.19,802.37,812.69,2976900
2025-07-28,812.65,820.22,802.5,808.11,2587700
2025-07-29,774.5,779.49,755.18,762.95,7100700
2025-07-30,774,778.1,758.41,760.08,4338700
2025-07-31,747.3,766.45,735.44,740.07,5810300
2025-08-01,746.82,768,745.99,762.33,4859500
2025-08-04,759.97,774.48,752.57,769,3353400
2025-08-05,765.57,769.94,759.52,765.95,3615200
2025-08-06,756.56,763,740.19,746.37,4752100
2025-08-07,675.66,678.29,633.2,640.86,26101600
2025-08-08,655,656.18,623.78,625.65,14125100
2025-08-11,629.42,654.44,625.9,635.22,11294200
2025-08-12,639.5,646.18,629.4,639.43,6897400
2025-08-13,650.4,661.75,644.5,660.49,6310000
2025-08-14,662,685.48,655.1,684.43,8395900
2025-08-15,694.2,706.79,685.8,701.23,8224600
2025-08-18,695.02,707.75,693.5,698.05,4997300
2025-08-19,706.61,714.27,698.55,703.21,5941000
2025-08-20,701.52,705.8,685.15,705.44,4139400
2025-08-21,705.2,718.4,705.2,709.82,3617300
2025-08-22,715.04,719.46,709.43,711.68,3222700
2025-08-25,711,713.5,694.23,695.33,2898100
2025-08-26,716.24,736.18,713.1,736.03,7695600
2025-08-27,736.96,746.59,731.55,734.17,4326200
2025-08-28,735.8,738.59,726.34,731.96,3117000
2025-08-29,732.32,737.42,728.5,732.58,2551200
2025-09-02,727.99,737.14,723.64,735.19,3222500
2025-09-03,732.02,737.83,729.02,737.83,2222500
2025-09-04,736.32,747,735.33,742.91,2423400
2025-09-05,744.7,744.7,722.57,727.21,3958200
2025-09-08,729.71,742.7,719.22,738.64,4534600
2025-09-09,734.18,752.84,733.87,750.61,2986900
2025-09-10,748.09,755.8,742.49,754.62,2477400
2025-09-11,752.48,761.13,750.37,756.28,2197500
2025-09-12,760.17,761.6,748,755.39,2198300
2025-09-15,753.07,756.34,742.11,748.19,2790900
2025-09-16,745.41,770.38,744.54,764.71,3881300
2025-09-17,761.49,776.96,756.34,760.13,3471200
2025-09-18,761.38,772.54,759.01,762.93,3464000
2025-09-19,765,765,749.2,751.99,7349500
2025-09-22,748.56,762.04,746.27,754.95,2527400
2025-09-23,750.57,753,743.17,746.98,2910100
2025-09-24,745.99,746.94,736.16,741.85,2243000
2025-09-25,737.67,740,712.05,714.59,5136400
2025-09-26,724.12,729,717.08,724.54,3559700
2025-09-29,725.55,727.86,716.08,726.51,3309200
2025-09-30,726.96,766.35,725.31,763,6234300
2025-10-01,763.3,833.3,763.3,825.42,10124500
2025-10-02,814.36,834.46,812.81,819.85,4291800
2025-10-03,824.94,848.13,816.1,839.87,5088500
2025-10-06,839.95,856.57,838.66,845.05,3651400
2025-10-07,845,848.54,836.58,843.63,2610800
2025-10-08,850,856,844.99,845.72,2180900
2025-10-09,851.69,860.25,845.7,855.35,3071700
2025-10-10,858,864.35,830.11,833.49,3431000
2025-10-13,832.68,835.32,817.35,819.4,2167500
2025-10-14,822.09,822.09,806,812.35,1928400
2025-10-15,812.5,830.19,808.58,826.57,2355800
2025-10-16,825.07,834.7,815.37,819.38,2272900
2025-10-17,788.96,804.44,783.85,802.83,3983000
2025-10-20,805.6,809.41,799.77,808.96,2279700
2025-10-21,806.93,812.99,798.71,799.57,2099500
2025-10-22,798.4,815.94,793.82,812.43,2930600
2025-10-23,806.4,824.7,806.02,821.04,2632900
2025-10-24,815.21,834.15,812.5,825.45,2211200
2025-10-27,825,826.42,811.48,826.41,2114800
2025-10-28,826,829.46,814.05,820.1,2493500
2025-10-29,827.31,830.29,809.63,813.53,3591200
2025-10-30,837.5,853,812.25,844.5,6037200
2025-10-31,839.16,869.91,834.19,862.86,5015000
2025-11-03,866.53,901.34,862.62,896.53,5401500
2025-11-04,891.41,915.22,883.64,906.86,5911500
2025-11-05,911,955.46,907.86,925.81,7272900
2025-11-06,928,949.9,916.26,937.44,6417400
2025-11-07,931.17,932,900.9,924.37,4373400
2025-11-10,939.74,981.99,938.41,966.64,5696600
2025-11-11,966.55,999.95,965.29,988.62,4166400
2025-11-12,993.12,1022.42,990.1,1017.78,5185200
2025-11-13,1010.09,1032.95,1010.09,1022.87,4153600
2025-11-14,1009,1033.62,1007.79,1025.28,3862300
2025-11-17,1003.72,1032.14,998.3,1021.7,4720000
2025-11-18,1014.01,1040.72,1014.01,1030.05,3430500
2025-11-19,1029.64,1055.59,1026.25,1049.6,3571200
2025-11-20,1045.5,1057,1038.25,1043.29,3135700
2025-11-21,1041,1066.65,1038,1059.7,4266700
2025-11-24,1056.77,1075.72,1049.38,1070.16,5497200
2025-11-25,1075.83,1111.11,1073.25,1109.9399,4181500
2025-11-26,1102,1111.99,1098.1,1104.34,3093700
2025-11-28,1096.72,1099.05,1067.6899,1075.47,2732200
2025-12-01,1074.38,1084.15,1055,1057.89,3070200
2025-12-02,1052.5699,1068.1801,1040.36,1046.12,3280000
2025-12-03,1046.39,1051.48,1022.32,1033.5601,3447000
2025-12-04,1032.63,1032.63,1007.18,1014.49,3854900
2025-12-05,1023.84,1027.39,1004,1010.31,2502100
2025-12-08,1010.74,1014.2,988.88,997.59,3088600
2025-12-09,1002.84,1012,979.18,982.22,2569700
2025-12-10,985,1003,977.12,993.64,2966300
2025-12-11,1008.15,1031.5601,987,1009.38,4517000
2025-12-12,1008.76,1028.9,1003.5,1027.51,3275200
2025-12-15,1032.55,1065,1032.55,1062.1899,4648400
2025-12-16,1063.5,1068.25,1036.23,1054.29,4024500
2025-12-17,1064.3,1064.3,1036.41,1041.79,3726600
2025-12-18,1041.8,1079.26,1039.54,1056.88,3848600
2025-12-19,1059.01,1075.38,1059.01,1071.4399,5829100
2025-12-22,1076.72,1083.48,1063,1076.48,2625600
2025-12-23,1063.5,1088.48,1063.5,1071.64,2108600
2025-12-24,1074.64,1085.73,1072.71,1076.98,932800
2025-12-26,1076.98,1081.39,1068.3,1077.75,1014600
2025-12-29,1077.95,1085.5,1074.38,1078.73,1653000
2025-12-30,1078.96,1082.37,1072.0699,1079.75,1251500
2025-12-31,1079.76,1083.5,1074.4301,1074.6801,1646700
2026-01-02,1076.4,1080.66,1052.08,1080.36,2469100
2026-01-05,1069.23,1085.38,1033.38,1041.51,4084800
2026-01-06,1044.11,1070.83,1039.9301,1064.04,2690700
2026-01-07,1077,1117.66,1075.96,1108.09,4652800
2026-01-08,1113.6899,1133.95,1070.15,1085.1899,3156000
2026-01-09,1086.83,1104.52,1063.03,1063.5601,2561900
2026-01-12,1058,1083.36,1058,1081,2380200
2026-01-13,1083,1090.22,1069.09,1077.1899,2194200
2026-01-14,1081.75,1084,1061.12,1073.29,1912600
2026-01-15,1062.5601,1067.65,1012.57,1032.97,4183400
